0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
236,73,3,832,308,964,657,146,2904,925,4,37,1158,3845,4794,0,0,0,0,0
20,282,1255,151,61,56,1052,5825,0,0,0,0,0,0,0,0,0,0,0,0
8,50,279,8,50,883,119,0,0,0,0,0,0,0,0,0,0,0,0,0
226,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698,177,173,4103,9384,1400,1367,2336,0,0,0,0,0,0,0,0,0,0,0,0
109,193,47,2905,1986,421,12542,479,2,0,0,0,0,0,0,0,0,0,0,0
1181,1621,708,91,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,9,290,21,869,12543,19,1110,129,970,60,12544,142,12545,753,0,0,0,0,0
13,50,332,670,2256,857,12,2179,0,0,0,0,0,0,0,0,0,0,0,0
895,89,1435,310,18,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4104,64,231,234,231,12546,2440,51,222,311,1401,14,6590,222,405,7677,5826,68,401,228
194,16,20,2656,910,1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,243,1836,61,56,109,300,1067,1988,2545,25,6591,0,0,0,0,0,0,0,0
415,374,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
658,12548,588,190,1554,896,12549,350,300,2180,4440,303,333,22,225,1938,0,0,0,0
964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3604,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2546,870,84,1098,1334,7678,1334,174,0,0,0,0,0,0,0,0,0,0,0,0
9385,833,177,515,1312,86,257,911,0,0,0,0,0,0,0,0,0,0,0,0
48,48,48,29,858,163,27,4441,1583,154,527,276,23,21,30,31,223,16,47,57
659,1555,42,1555,1462,1555,659,1787,217,42,1034,218,0,0,0,0,0,0,0,0
156,3605,326,629,2906,80,1526,1111,936,295,682,708,630,2657,8,6592,0,0,0,0
20,3846,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5827,5828,1159,3207,304,10,165,0,0,0,0,0,0,0,0,0,0,0,0,0
2337,2053,2338,1707,802,120,129,0,0,0,0,0,0,0,0,0,0,0,0,0
12550,500,1368,66,2339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12551,1099,9386,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2547,1556,9387,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4442,937,1527,7679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2054,173,1584,88,173,446,2907,0,0,0,0,0,0,0,0,0,0,0,0
80,18,2548,3606,365,2,78,54,2908,1257,481,34,245,0,0,0,0,0,0,0
74,191,3372,48,583,273,822,1740,200,438,925,0,0,0,0,0,0,0,0,0
